L_susp,N_cables,r_attach,m_gondola,m_one_cable_total,m_cables_total,zeta_pendulum,zeta_torsion,gondola_shape,I_gondola_tilt,I_gondola_yaw,gondola_reference_size,disturbance_case,pend_initial_angle_deg,pend_initial_rate_deg_s,torsion_initial_twist_deg,torsion_initial_yaw_rate_deg_s,dominant_pendulum_period_s,dominant_torsion_period_s,dominant_pendulum_frequency_hz,dominant_torsion_frequency_hz,max_gondola_swing_angle_deg,max_gondola_swing_rate_deg_s,max_gondola_yaw_deg,max_gondola_yaw_rate_deg_s,settling_time_pendulum_s,settling_time_torsion_s,peak_total_cable_tension_N,peak_per_cable_tension_N,minimum_per_cable_tension_N,dynamic_static_tension_ratio,maximum_torsional_torque_Nm,maximum_torsion_element_twist_deg,f_max_relevant_hz,required_imu_sampling_10x_hz,required_imu_sampling_20x_hz,feasible,violations,passes,config_id
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.005,rectangular_box,20.909478749999995,38.069615999999996,"a=1.78, b=1.19, c=0.47",high,8.0,3.0,8.0,3.0,10.812605902429395,3.617351041269058,0.09248464329725715,0.27644538464510615,9.247464406042688,13.818504963178643,8.178449309710862,13.848691012302451,688.3518708304969,460.57543929326823,945.6416348383453,315.21387827944847,287.7563563568388,1.0812077927208574,16.41470315509758,0.9192057384811858,73.91336720067977,739.1336720067977,1478.2673440135954,OK,OK,True,252
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.01,rectangular_box,20.909478749999995,38.069615999999996,"a=1.78, b=1.19, c=0.47",high,8.0,3.0,8.0,3.0,10.812605902429395,3.617351041269058,0.09248464329725715,0.27644538464510615,9.247464406042688,13.818504963178643,8.178267175716524,13.74347043583414,688.3518708304969,230.28771964663412,945.6416348383453,315.21387827944847,287.7563563568388,1.0812077927208574,16.41215544437255,0.9187177658020402,73.91336720067977,739.1336720067977,1478.2673440135954,OK,OK,True,253
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.005,rectangular_box,20.909478749999995,38.069615999999996,"a=1.78, b=1.19, c=0.47",high,8.0,3.0,8.0,3.0,10.812605902429395,3.617351041269058,0.09248464329725715,0.27644538464510615,9.231347386113992,13.474388325502291,8.178449309710862,13.848691012302451,344.17593541524843,460.57543929326823,942.0891757777476,314.02972525924923,287.76669988619796,1.0771460569870066,16.41470315509758,0.9192057384811858,73.91336720067977,739.1336720067977,1478.2673440135954,OK,OK,True,254
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.01,rectangular_box,20.909478749999995,38.069615999999996,"a=1.78, b=1.19, c=0.47",high,8.0,3.0,8.0,3.0,10.812605902429395,3.617351041269058,0.09248464329725715,0.27644538464510615,9.231347386113992,13.474388325502291,8.178267175716524,13.74347043583414,344.17593541524843,230.28771964663412,942.0891757777476,314.02972525924923,287.76669988619796,1.0771460569870066,16.41215544437255,0.9187177658020402,73.91336720067977,739.1336720067977,1478.2673440135954,OK,OK,True,255
12.0,4,0.5,100.0,0.1,0.4,0.01,0.005,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.796462605928667,11.743894547934028,0.0926229299817951,0.08515062834721372,21.421559322758643,28.769659961591337,11.99344034497918,5.051173917651675,687.3241566561412,1495.2790947629283,1181.434776642125,295.35869416053123,203.81367877342723,1.349458560987843,3.1300403684833245,1.0951014187204997,64.02666831815871,640.2666831815872,1280.5333663631743,FAIL,swing>=10deg;yaw>=10deg,False,256
12.0,4,0.5,100.0,0.1,0.4,0.01,0.01,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.796462605928667,11.743894547934028,0.0926229299817951,0.08515062834721372,21.421559322758643,28.769659961591337,10.995644760048238,4.9464176139001745,687.3241566561412,747.6395473814641,1181.434776642125,295.35869416053123,203.81367877342723,1.349458560987843,3.119824334826563,1.0915426248481157,64.02666831815871,640.2666831815872,1280.5333663631743,FAIL,swing>=10deg;yaw>=10deg,False,257
12.0,4,0.5,100.0,0.1,0.4,0.02,0.005,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.796462605928667,11.743894547934028,0.0926229299817951,0.08515062834721372,19.469907943675864,26.271815088550543,11.99344034497918,5.051173917651675,343.6620783280706,1495.2790947629283,1130.6022183528098,282.65055458820245,206.40681221809913,1.2913965906475127,3.1300403684833245,1.0951014187204997,64.02666831815871,640.2666831815872,1280.5333663631743,FAIL,swing>=10deg;yaw>=10deg,False,258
12.0,4,0.5,100.0,0.1,0.4,0.02,0.01,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.796462605928667,11.743894547934028,0.0926229299817951,0.08515062834721372,19.469907943675864,26.271815088550543,10.995644760048238,4.9464176139001745,343.6620783280706,747.6395473814641,1130.6022183528098,282.65055458820245,206.40681221809913,1.2913965906475127,3.119824334826563,1.0915426248481157,64.02666831815871,640.2666831815872,1280.5333663631743,FAIL,swing>=10deg;yaw>=10deg,False,259
12.0,4,0.5,100.0,0.1,0.4,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.823136781105855,5.999637896289408,0.09239465602483357,0.1666767257101415,8.926253270756161,9.74974611278079,8.495750068435626,8.75299102164713,689.0222873890807,763.8976223647355,911.6576369150682,227.91440922876706,216.23730701000463,1.0413136866696837,2.731687465991974,0.9540928571436292,64.02674500813406,640.2674500813406,1280.5349001626812,OK,OK,True,260
12.0,4,0.5,100.0,0.1,0.4,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.823136781105855,5.999637896289408,0.09239465602483357,0.1666767257101415,8.926253270756161,9.74974611278079,8.494528718249846,8.683038740941624,689.0222873890807,381.94881118236776,911.6576369150682,227.91440922876706,216.23730701000463,1.0413136866696837,2.728997873247929,0.9527314372246167,64.02674500813406,640.2674500813406,1280.5349001626812,OK,OK,True,261
